,Player,Position,Team,FPTS
0,Tom Brady,Quarterback,NE,20.2
1,Alex Smith,Quarterback,KC,18.8
2,Drew Brees,Quarterback,NO,17.6
3,Carson Wentz,Quarterback,PHI,17.6
4,Philip Rivers,Quarterback,LAC,17.4
5,Jameis Winston,Quarterback,TB,17.0
6,Matt Ryan,Quarterback,ATL,16.8
7,Russell Wilson,Quarterback,SEA,16.7
8,Jared Goff,Quarterback,LAR,16.5
9,Matthew Stafford,Quarterback,DET,16.2
10,Dak Prescott,Quarterback,DAL,16.1
11,Derek Carr,Quarterback,OAK,15.9
12,Cam Newton,Quarterback,CAR,15.8
13,Kirk Cousins,Quarterback,WAS,15.6
14,Ben Roethlisberger,Quarterback,PIT,15.6
15,Case Keenum,Quarterback,MIN,15.5
16,Marcus Mariota,Quarterback,TEN,14.8
17,Blaine Gabbert,Quarterback,ARI,14.7
18,DeShone Kizer,Quarterback,CLE,14.3
19,Josh McCown,Quarterback,NYJ,14.2
20,Andy Dalton,Quarterback,CIN,14.2
21,Jimmy Garoppolo,Quarterback,SF,13.9
22,Jacoby Brissett,Quarterback,IND,13.9
23,Brett Hundley,Quarterback,GB,13.8
24,Blake Bortles,Quarterback,JAC,13.8
25,Eli Manning,Quarterback,NYG,13.2
26,Tom Savage,Quarterback,HOU,13.0
27,Trevor Siemian,Quarterback,DEN,12.9
28,Jay Cutler,Quarterback,MIA,12.2
29,Joe Flacco,Quarterback,BAL,11.9
30,Mitch Trubisky,Quarterback,CHI,10.9
31,Tyrod Taylor,Quarterback,BUF,9.6
32,Nathan Peterman,Quarterback,BUF,9.5
33,Ryan Fitzpatrick,Quarterback,TB,0.9
34,Brock Osweiler,Quarterback,DEN,0.8
35,Matt Moore,Quarterback,MIA,0.8
36,Jake Rudock,Quarterback,DET,0.7
37,C.J. Beathard,Quarterback,SF,0.5
38,Teddy Bridgewater,Quarterback,MIN,0.5
39,Kevin Hogan,Quarterback,CLE,0.4
40,Cody Kessler,Quarterback,CLE,0.3
41,Ryan Mallett,Quarterback,BAL,0.3
42,AJ McCarron,Quarterback,CIN,0.3
43,Brian Hoyer,Quarterback,NE,0.3
44,Drew Stanton,Quarterback,ARI,0.3
45,Matt Schaub,Quarterback,ATL,0.3
46,Mike Glennon,Quarterback,CHI,0.3
47,T.J. Yates,Quarterback,HOU,0.3
48,Bryce Petty,Quarterback,NYJ,0.2
49,Colt McCoy,Quarterback,WAS,0.2
50,EJ Manuel,Quarterback,OAK,0.2
51,Patrick Mahomes,Quarterback,KC,0.2
52,Landry Jones,Quarterback,PIT,0.2
53,Chase Daniel,Quarterback,NO,0.2
54,Austin Davis,Quarterback,SEA,0.2
55,Geno Smith,Quarterback,NYG,0.2
56,Cooper Rush,Quarterback,DAL,0.1
57,Nick Foles,Quarterback,PHI,0.1
58,Derek Anderson,Quarterback,CAR,0.1
59,Matt Cassel,Quarterback,TEN,0.1
60,Kellen Clemens,Quarterback,LAC,0.1
61,Sean Mannion,Quarterback,LAR,0.1
62,Chad Henne,Quarterback,JAC,0.1
63,Scott Tolzien,Quarterback,IND,0.0
64,Joe Callahan,Quarterback,GB,0.0
65,Joe Webb,Quarterback,BUF,0.0
66,Nate Sudfeld,Quarterback,PHI,0.0
